State,Year,Alcohol_Dependence_12_17,Alcohol_Dependence_18_25,Alcohol_Dependence_26,Total
Alabama,2011,500,2400,7800,10700
Alaska,2011,100,599,1400,2099
Arizona,2011,800,4600,13899,19299
Arkansas,2011,300,1600,4800,6700
California,2011,4800,31300,74200,110300
Colorado,2011,600,4500,12300,17400
Connecticut,2011,400,2600,6700,9700
Delaware,2011,100,800,1500,2400
District of Columbia,2011,0,1000,1999,2999
Florida,2011,1700,9900,34600,46200
Georgia,2011,899,4900,16100,21899
Hawaii,2011,200,1100,2600,3900
Idaho,2011,200,900,2999,4099
Illinois,2011,1400,9200,25499,36099
Indiana,2011,700,4700,11000,16400
Iowa,2011,300,2500,5800,8600
Kansas,2011,300,1699,4800,6799
Kentucky,2011,500,2300,7900,10700
Louisiana,2011,500,3000,8500,12000
Maine,2011,100,699,2699,3498
Maryland,2011,500,3900,9200,13600
Massachusetts,2011,700,6200,12800,19700
Michigan,2011,1200,6400,21100,28700
Minnesota,2011,600,3700,10200,14500
Mississippi,2011,300,1500,5100,6900
Missouri,2011,600,3500,10599,14699
Montana,2011,99,700,2000,2799
Nebraska,2011,200,1400,3100,4700
Nevada,2011,400,2200,6400,9000
New Hampshire,2011,100,900,2500,3500
New Jersey,2011,900,5700,14200,20800
New Mexico,2011,300,1500,3800,5600
New York,2011,2000,13000,36200,51200
North Carolina,2011,900,4600,13400,18900
North Dakota,2011,99,699,1200,1998
Ohio,2011,1199,6700,22300,30199
Oklahoma,2011,400,2400,7300,10100
Oregon,2011,399,2800,9499,12698
Pennsylvania,2011,1200,7800,23600,32600
Rhode Island,2011,99,1200,2200,3499
South Carolina,2011,500,2100,9699,12299
South Dakota,2011,100,599,1700,2399
Tennessee,2011,599,3200,11600,15399
Texas,2011,3000,16300,43000,62300
Utah,2011,300,1699,3700,5699
Vermont,2011,99,500,1100,1699
Virginia,2011,800,5500,14300,20600
Washington,2011,800,5300,14500,20600
West Virginia,2011,199,1100,3400,4699
Wisconsin,2011,600,3100,10900,14600
Wyoming,2011,100,500,1100,1700
