State,Year,Alcohol_Dependence_12_17,Alcohol_Dependence_18_25,Alcohol_Dependence_26,Total
Alabama,2012,500,2549,8893,11942
Alaska,2012,100,551,1350,2001
Arizona,2012,750,4404,13756,18910
Arkansas,2012,250,1649,4999,6898
California,2012,4243,30460,76334,111037
Colorado,2012,550,4058,11617,16225
Connecticut,2012,349,2402,6998,9749
Delaware,2012,100,750,1648,2498
District of Columbia,2012,0,898,1953,2851
Florida,2012,1599,9405,36085,47089
Georgia,2012,850,5048,16102,22000
Hawaii,2012,200,1149,2847,4196
Idaho,2012,200,900,2902,4002
Illinois,2012,1248,8550,24556,34354
Indiana,2012,700,4551,11447,16698
Iowa,2012,299,2251,5651,8201
Kansas,2012,300,1749,5347,7396
Kentucky,2012,449,2399,8099,10947
Louisiana,2012,449,2949,8401,11799
Maine,2012,100,750,2849,3699
Maryland,2012,500,3800,9843,14143
Massachusetts,2012,599,5505,12356,18460
Michigan,2012,1098,6450,20552,28100
Minnesota,2012,499,3450,10151,14100
Mississippi,2012,249,1599,5199,7047
Missouri,2012,549,3500,11097,15146
Montana,2012,100,749,2148,2997
Nebraska,2012,200,1400,3496,5096
Nevada,2012,350,2101,6304,8755
New Hampshire,2012,100,998,2649,3747
New Jersey,2012,799,5403,14796,20998
New Mexico,2012,249,1400,3899,5548
New York,2012,1898,12900,37541,52339
North Carolina,2012,850,4896,14834,20580
North Dakota,2012,100,701,1298,2099
Ohio,2012,1099,6550,22001,29650
Oklahoma,2012,350,2301,7498,10149
Oregon,2012,400,2750,9007,12157
Pennsylvania,2012,1149,7999,22655,31803
Rhode Island,2012,100,1150,2299,3549
South Carolina,2012,450,2248,9554,12252
South Dakota,2012,100,649,1700,2449
Tennessee,2012,549,3299,11551,15399
Texas,2012,2802,16354,45272,64428
Utah,2012,251,1650,3897,5798
Vermont,2012,100,500,1149,1749
Virginia,2012,749,5896,15339,21984
Washington,2012,749,5102,14158,20009
West Virginia,2012,200,1000,3549,4749
Wisconsin,2012,600,3498,11843,15941
Wyoming,2012,100,500,1198,1798
