State,Year,Alcohol_Dependence_12_17,Alcohol_Dependence_18_25,Alcohol_Dependence_26,Total
Alabama,2010,563,2744,8392,11699
Alaska,2010,103,567,1432,2102
Arizona,2010,928,4939,13716,19583
Arkansas,2010,377,1795,4973,7145
California,2010,5962,30114,79727,115803
Colorado,2010,705,4189,11387,16281
Connecticut,2010,490,2514,6658,9662
Delaware,2010,120,730,1546,2396
District of Columbia,2010,24,864,1824,2712
Florida,2010,2107,10435,37642,50184
Georgia,2010,1035,5351,15925,22311
Hawaii,2010,206,1115,2625,3946
Idaho,2010,233,1078,2903,4214
Illinois,2010,1565,9992,24004,35561
Indiana,2010,877,4977,10926,16780
Iowa,2010,416,2553,5597,8566
Kansas,2010,379,2062,4684,7125
Kentucky,2010,530,2486,7522,10538
Louisiana,2010,530,3083,8168,11781
Maine,2010,131,759,2549,3439
Maryland,2010,616,3756,10407,14779
Massachusetts,2010,864,6044,12955,19863
Michigan,2010,1355,6385,21582,29322
Minnesota,2010,730,4011,10822,15563
Mississippi,2010,334,1753,5165,7252
Missouri,2010,731,3748,10638,15117
Montana,2010,149,873,1890,2912
Nebraska,2010,228,1381,3063,4672
Nevada,2010,421,2221,5991,8633
New Hampshire,2010,165,941,2471,3577
New Jersey,2010,1045,5395,15037,21477
New Mexico,2010,345,1616,4101,6062
New York,2010,2619,14901,37517,55037
North Carolina,2010,1037,5293,15451,21781
North Dakota,2010,98,709,1194,2001
Ohio,2010,1404,7584,21356,30344
Oklahoma,2010,455,2643,6681,9779
Oregon,2010,513,2772,9585,12870
Pennsylvania,2010,1410,8344,23122,32876
Rhode Island,2010,131,1071,2304,3506
South Carolina,2010,514,2467,10737,13718
South Dakota,2010,128,665,1622,2415
Tennessee,2010,695,3536,11890,16121
Texas,2010,3536,16913,42043,62492
Utah,2010,395,1843,3669,5907
Vermont,2010,97,499,1245,1841
Virginia,2010,978,6331,14074,21383
Washington,2010,898,5211,12736,18845
West Virginia,2010,220,1117,3497,4834
Wisconsin,2010,720,3697,10906,15323
Wyoming,2010,97,512,1067,1676
